Name, Text, Date, Time
"Text","270",11/25/2016,16:03:38
"Text","271",11/25/2016,16:03:33
"Text","272",11/25/2016,16:03:27
"Text","273",11/25/2016,16:03:23
"Text","294",11/25/2016,16:03:14
"Text","295",11/25/2016,16:03:09
"Text","296",11/25/2016,16:03:04
"Text","297",11/25/2016,16:03:00
"Text","298",11/25/2016,16:02:53
"Text","299",11/25/2016,16:02:47
"Text","300",11/25/2016,16:02:43
"Text","301",11/25/2016,16:02:36
"Text","302",11/25/2016,16:02:31
"Text","273",11/25/2016,16:02:25
"Text","274",11/25/2016,16:02:21
"Text","275",11/25/2016,16:02:17
"Text","276",11/25/2016,16:02:12
"Text","305",11/25/2016,16:02:08
"Text","304",11/25/2016,16:02:03
"Text","303",11/25/2016,16:01:58
"Text","310",11/25/2016,16:01:53
"Text","309",11/25/2016,16:01:48
"Text","308",11/25/2016,16:01:44
"Text","307",11/25/2016,16:01:41
"Text","306",11/25/2016,16:01:35
"Text","276",11/25/2016,16:01:30
"Text","277",11/25/2016,16:01:24
"Text","278",11/25/2016,16:01:17
"Text","279",11/25/2016,16:01:12
"Text","280",11/25/2016,16:01:07
"Text","281",11/25/2016,16:01:00
"Text","282",11/25/2016,16:00:56
"Text","283",11/25/2016,16:00:50
"Text","284",11/25/2016,16:00:45
"Text","285",11/25/2016,16:00:41
"Text","292",11/25/2016,16:00:33
"Text","293",11/25/2016,16:00:28
"Text","277",11/25/2016,16:00:24
"Text","276",11/25/2016,16:00:19
"Text","275",11/25/2016,16:00:13
"Text","274",11/25/2016,16:00:09
"Text","273",11/25/2016,16:00:04
"Text","272",11/25/2016,15:59:54
"Text","271",11/25/2016,15:59:49
"Text","270",11/25/2016,15:59:44
"Text","269",11/25/2016,15:59:38
"Text","252",11/25/2016,15:59:34
"Text","253",11/25/2016,15:59:28
"Text","258",11/25/2016,15:59:23
"Text","266",11/25/2016,15:59:18
"Text","265",11/25/2016,15:59:13
"Text","264",11/25/2016,15:59:09
"Text","159",11/25/2016,15:59:03
"Text","160",11/25/2016,15:58:59
"Text","161",11/25/2016,15:58:54
"Text","162",11/25/2016,15:58:49
"Text","163",11/25/2016,15:58:41
"Text","162",11/25/2016,15:58:35
"Text","160",11/25/2016,15:58:26
"Text","263",11/25/2016,15:58:17
"Text","245",11/25/2016,15:58:10
"Text","246",11/25/2016,15:58:06
"Text","261",11/25/2016,15:57:58
"Text","263",11/25/2016,15:57:50
"Text","145",11/25/2016,15:57:40
"Text","144",11/25/2016,15:57:34
"Text","142",11/25/2016,15:57:26
"Text","141",11/25/2016,15:57:21
"Text","140",11/25/2016,15:57:14
"Text","139",11/25/2016,15:57:04
"Text","138",11/25/2016,15:56:55
"Text","137",11/25/2016,15:56:42
"Text","122",11/25/2016,15:56:03
"Text","123",11/25/2016,15:55:59
"Text","125",11/25/2016,15:55:49
"Text","126",11/25/2016,15:55:43
"Text","127",11/25/2016,15:55:37
"Text","130",11/25/2016,15:55:27
"Text","127",11/25/2016,15:55:17
"Text","213",11/25/2016,15:55:10
"Text","212",11/25/2016,15:54:57
"Text","133",11/25/2016,15:54:45
"Text","226",11/25/2016,15:54:38
"Text","225",11/25/2016,15:54:27
"Text","226",11/25/2016,15:54:23
"Text","134",11/25/2016,15:54:18
"Text","135",11/25/2016,15:54:09
"Text","103",11/25/2016,15:53:58
"Text","104",11/25/2016,15:53:52
"Text","105",11/25/2016,15:53:44
"Text","106",11/25/2016,15:53:39
"Text","151",11/25/2016,15:53:30
"Text","152",11/25/2016,15:53:22
"Text","153",11/25/2016,15:53:14
"Text","154",11/25/2016,15:53:08
"Text","168",11/25/2016,15:52:58
"Text","169",11/25/2016,15:52:51
"Text","178",11/25/2016,15:52:39
"Text","179",11/25/2016,15:52:33
"Text","180",11/25/2016,15:52:24
"Text","087",11/25/2016,15:52:14
"Text","086",11/25/2016,15:52:06
"Text","084",11/25/2016,15:51:59
"Text","083",11/25/2016,15:51:53
"Text","082",11/25/2016,15:51:46
"Text","078",11/25/2016,15:51:38
"Text","081",11/25/2016,15:51:29
"Text","041",11/25/2016,15:51:23
"Text","040",11/25/2016,15:51:17
"Text","038",11/25/2016,15:51:12
"Text","037",11/25/2016,15:51:01
"Text","035",11/25/2016,15:50:52
"Text","024",11/25/2016,15:50:44
"Text","190",11/25/2016,15:50:38
"Text","189",11/25/2016,15:50:34
"Text","188",11/25/2016,15:50:28
"Text","187",11/25/2016,15:50:23
"Text","186",11/25/2016,15:50:12
"Text","085",11/25/2016,15:49:58
"Text","194",11/25/2016,15:49:54
"Text","193",11/25/2016,15:49:48
"Text","192",11/25/2016,15:49:43
"Text","191",11/25/2016,15:49:37
"Text","036",11/25/2016,15:49:31
"Text","037",11/25/2016,15:49:24
"Text","038",11/25/2016,15:49:16
"Text","039",11/25/2016,15:49:12
"Text","080",11/25/2016,15:49:05
"Text","079",11/25/2016,15:48:59
"Text","082",11/25/2016,15:48:53
"Text","083",11/25/2016,15:48:48
"Text","084",11/25/2016,15:48:41
"Text","086",11/25/2016,15:48:33
"Text","175",11/25/2016,15:48:27
"Text","176",11/25/2016,15:48:20
"Text","172",11/25/2016,15:48:13
"Text","171",11/25/2016,15:48:09
"Text","170",11/25/2016,15:48:04
"Text","169",11/25/2016,15:47:47
"Text","155",11/25/2016,15:47:34
"Text","156",11/25/2016,15:47:30
"Text","157",11/25/2016,15:47:25
"Text","158",11/25/2016,15:47:19
"Text","159",11/25/2016,15:47:14
"Text","263",11/25/2016,15:47:08
"Text","262",11/25/2016,15:47:03
"Text","245",11/25/2016,15:46:58
"Text","246",11/25/2016,15:46:53
"Text","265",11/25/2016,15:46:43
"Text","266",11/25/2016,15:46:37
"Text","258",11/25/2016,15:46:33
"Text","254",11/25/2016,15:46:26
"Text","256",11/25/2016,15:46:12
"Text","257",11/25/2016,15:45:59
"Text","257",11/25/2016,15:42:23
"Text","256",11/25/2016,15:42:17
"Text","255",11/25/2016,15:42:12
"Text","254",11/25/2016,15:42:04
"Text","258",11/25/2016,15:41:58
"Text","253",11/25/2016,15:41:53
"Text","252",11/25/2016,15:41:47
"Text","269",11/25/2016,15:41:41
"Text","270",11/25/2016,15:41:35
"Text","271",11/25/2016,15:41:30
"Text","272",11/25/2016,15:41:24
"Text","273",11/25/2016,15:41:19
"Text","274",11/25/2016,15:41:14
"Text","275",11/25/2016,15:41:09
"Text","276",11/25/2016,15:41:04
"Text","277",11/25/2016,15:40:59
"Text","293",11/25/2016,15:40:55
"Text","292",11/25/2016,15:40:50
"Text","285",11/25/2016,15:40:39
"Text","284",11/25/2016,15:40:34
"Text","283",11/25/2016,15:40:29
"Text","283",11/25/2016,15:40:26
"Text","282",11/25/2016,15:40:17
"Text","281",11/25/2016,15:40:13
"Text","280",11/25/2016,15:40:07
"Text","279",11/25/2016,15:40:02
"Text","278",11/25/2016,15:39:56
"Text","277",11/25/2016,15:39:50
"Text","276",11/25/2016,15:39:45
"Text","305",11/25/2016,15:39:41
"Text","304",11/25/2016,15:39:36
"Text","305",11/25/2016,15:39:32
"Text","306",11/25/2016,15:39:28
"Text","307",11/25/2016,15:39:22
"Text","308",11/25/2016,15:39:17
"Text","309",11/25/2016,15:39:13
"Text","310",11/25/2016,15:39:08
"Text","303",11/25/2016,15:39:04
"Text","273",11/25/2016,15:38:59
"Text","294",11/25/2016,15:38:49
"Text","295",11/25/2016,15:38:44
"Text","296",11/25/2016,15:38:39
"Text","297",11/25/2016,15:38:34
"Text","298",11/25/2016,15:38:27
"Text","299",11/25/2016,15:38:21
"Text","300",11/25/2016,15:38:16
"Text","301",11/25/2016,15:38:11
"Text","302",11/25/2016,15:38:07
"Text","273",11/25/2016,15:37:58
"Text","272",11/25/2016,15:37:55
"Text","271",11/25/2016,15:37:49
"Text","270",11/25/2016,15:37:44
"Text","269",11/25/2016,15:37:39
"Text","252",11/25/2016,15:37:34
"Text","253",11/25/2016,15:37:28
"Text","258",11/25/2016,15:37:22
"Text","266",11/25/2016,15:37:18
"Text","265",11/25/2016,15:37:12
"Text","264",11/25/2016,15:37:05
"Text","159",11/25/2016,15:36:59
"Text","160",11/25/2016,15:36:54
"Text","161",11/25/2016,15:36:47
"Text","162",11/25/2016,15:36:41
