Name, Text, Date, Time
"Text","044",11/25/2016,16:27:56
"Text","045",11/25/2016,16:27:46
"Text","046",11/25/2016,16:27:42
"Text","047",11/25/2016,16:27:33
"Text","048",11/25/2016,16:27:28
"Text","050",11/25/2016,16:27:24
"Text","051",11/25/2016,16:27:19
"Text","052",11/25/2016,16:27:10
"Text","053",11/25/2016,16:27:04
"Text","054",11/25/2016,16:26:58
"Text","074",11/25/2016,16:26:48
"Text","075",11/25/2016,16:26:43
"Text","076",11/25/2016,16:26:08
"Text","067",11/25/2016,16:25:59
"Text","066",11/25/2016,16:25:52
"Text","065",11/25/2016,16:25:46
"Text","064",11/25/2016,16:25:42
"Text","176",11/25/2016,16:25:20
"Text","176",11/25/2016,16:25:19
"Text","175",11/25/2016,16:25:10
"Text","086",11/25/2016,16:25:06
"Text","084",11/25/2016,16:25:00
"Text","083",11/25/2016,16:24:53
"Text","085",11/25/2016,16:24:46
"Text","194",11/25/2016,16:24:40
"Text","193",11/25/2016,16:24:36
"Text","192",11/25/2016,16:24:32
"Text","191",11/25/2016,16:24:28
"Text","035",11/25/2016,16:24:14
"Text","034",11/25/2016,16:24:07
"Text","024",11/25/2016,16:24:01
"Text","190",11/25/2016,16:23:57
"Text","189",11/25/2016,16:23:52
"Text","188",11/25/2016,16:23:48
"Text","187",11/25/2016,16:23:42
"Text","186",11/25/2016,16:23:37
"Text","185",11/25/2016,16:23:32
"Text","184",11/25/2016,16:23:28
"Text","183",11/25/2016,16:23:24
"Text","088",11/25/2016,16:23:16
"Text","087",11/25/2016,16:23:11
"Text","086",11/25/2016,16:23:05
"Text","084",11/25/2016,16:22:59
"Text","083",11/25/2016,16:22:42
"Text","082",11/25/2016,16:22:36
"Text","079",11/25/2016,16:22:31
"Text","078",11/25/2016,16:22:17
"Text","077",11/25/2016,16:22:09
"Text","067",11/25/2016,16:21:57
"Text","068",11/25/2016,16:18:27
