Name, Text, Date, Time
"Text","236",25/11/2016,11:51:00
"Text","235",25/11/2016,11:50:52
"Text","234",25/11/2016,11:50:44
"Text","156",25/11/2016,11:50:34
"Text","157",25/11/2016,11:50:28
"Text","158",25/11/2016,11:50:22
"Text","159",25/11/2016,11:50:15
"Text","264",25/11/2016,11:50:09
"Text","265",25/11/2016,11:50:04
"Text","266",25/11/2016,11:50:00
"Text","258",25/11/2016,11:49:54
"Text","253",25/11/2016,11:49:49
"Text","252",25/11/2016,11:49:43
"Text","269",25/11/2016,11:49:38
"Text","270",25/11/2016,11:49:33
"Text","271",25/11/2016,11:49:25
"Text","272",25/11/2016,11:49:20
"Text","273",25/11/2016,11:49:13
"Text","309",25/11/2016,11:48:59
"Text","310",25/11/2016,11:48:56
"Text","303",25/11/2016,11:48:51
"Text","304",25/11/2016,11:48:47
"Text","305",25/11/2016,11:48:43
"Text","308",25/11/2016,11:48:38
"Text","307",25/11/2016,11:48:33
"Text","306",25/11/2016,11:48:30
"Text","276",25/11/2016,11:48:21
"Text","277",25/11/2016,11:48:16
"Text","292",25/11/2016,11:48:09
"Text","293",25/11/2016,11:48:05
"Text","284",25/11/2016,11:47:59
"Text","285",25/11/2016,11:47:53
"Text","285",25/11/2016,11:47:46
"Text","284",25/11/2016,11:47:40
"Text","081",25/11/2016,11:59:48
"Text","283",25/11/2016,11:47:36
"Text","078",25/11/2016,11:59:41
"Text","282",25/11/2016,11:47:29
"Text","077",25/11/2016,11:59:35
"Text","281",25/11/2016,11:47:24
"Text","063",25/11/2016,11:59:14
"Text","171",25/11/2016,11:58:55
"Text","219",25/11/2016,11:39:12
"Text","280",25/11/2016,11:47:17
"Text","279",25/11/2016,11:47:12
"Text","170",25/11/2016,11:58:48
"Text","218",25/11/2016,11:39:08
"Text","169",25/11/2016,11:58:42
"Text","217",25/11/2016,11:39:03
"Text","278",25/11/2016,11:47:06
"Text","168",25/11/2016,11:58:35
"Text","216",25/11/2016,11:38:58
"Text","277",25/11/2016,11:47:00
"Text","276",25/11/2016,11:46:55
"Text","155",25/11/2016,11:58:21
"Text","215",25/11/2016,11:38:51
"Text","214",25/11/2016,11:38:47
"Text","275",25/11/2016,11:46:49
"Text","156",25/11/2016,11:58:15
"Text","220",25/11/2016,11:38:43
"Text","274",25/11/2016,11:46:44
"Text","157",25/11/2016,11:58:10
"Text","158",25/11/2016,11:58:06
"Text","210",25/11/2016,11:38:39
"Text","273",25/11/2016,11:46:40
"Text","221",25/11/2016,11:38:34
"Text","272",25/11/2016,11:46:36
"Text","159",25/11/2016,11:57:59
"Text","264",25/11/2016,11:57:52
"Text","208",25/11/2016,11:38:30
"Text","271",25/11/2016,11:46:31
"Text","270",25/11/2016,11:46:26
"Text","265",25/11/2016,11:57:45
