Name, Text, Date, Time
"Text","225",27/11/2016,12:39:53
"Text","100",27/11/2016,12:39:41
"Text","099",27/11/2016,12:39:34
"Text","098",27/11/2016,12:39:30
"Text","097",27/11/2016,12:39:25
"Text","096",27/11/2016,12:39:19
"Text","094",27/11/2016,12:39:14
"Text","232",27/11/2016,12:39:11
"Text","231",27/11/2016,12:39:01
"Text","154",27/11/2016,12:38:53
"Text","155",27/11/2016,12:38:46
"Text","156",27/11/2016,12:38:42
"Text","157",27/11/2016,12:38:38
"Text","158",27/11/2016,12:38:33
"Text","159",27/11/2016,12:38:26
"Text","264",27/11/2016,12:38:21
"Text","265",27/11/2016,12:38:17
"Text","266",27/11/2016,12:38:13
"Text","258",27/11/2016,12:38:09
"Text","253",27/11/2016,12:38:05
"Text","252",27/11/2016,12:38:00
"Text","269",27/11/2016,12:37:55
"Text","270",27/11/2016,12:37:49
"Text","271",27/11/2016,12:37:44
"Text","272",27/11/2016,12:37:39
"Text","273",27/11/2016,12:37:34
"Text","274",27/11/2016,12:37:31
"Text","275",27/11/2016,12:37:27
"Text","276",27/11/2016,12:37:16
"Text","305",27/11/2016,12:37:12
"Text","306",27/11/2016,12:37:09
"Text","307",27/11/2016,12:37:04
"Text","308",27/11/2016,12:37:00
"Text","309",27/11/2016,12:36:56
"Text","310",27/11/2016,12:36:52
"Text","303",27/11/2016,12:36:47
"Text","273",27/11/2016,12:36:34
"Text","272",27/11/2016,12:36:20
"Text","271",27/11/2016,12:36:15
"Text","270",27/11/2016,12:36:11
"Text","269",27/11/2016,12:36:01
"Text","252",27/11/2016,12:35:56
"Text","253",27/11/2016,12:35:51
"Text","258",27/11/2016,12:35:47
"Text","266",27/11/2016,12:35:40
"Text","265",27/11/2016,12:35:35
"Text","264",27/11/2016,12:35:30
"Text","263",27/11/2016,12:35:19
"Text","145",27/11/2016,12:35:13
"Text","146",27/11/2016,12:35:04
"Text","147",27/11/2016,12:34:57
"Text","148",27/11/2016,12:34:54
"Text","240",27/11/2016,12:34:49
"Text","241",27/11/2016,12:34:42
"Text","109",27/11/2016,12:34:37
"Text","110",27/11/2016,12:34:32
"Text","134",27/11/2016,12:34:18
"Text","226",27/11/2016,12:34:13
"Text","225",27/11/2016,12:34:09
"Text","203",27/11/2016,12:33:57
"Text","202",27/11/2016,12:33:53
"Text","201",27/11/2016,12:33:49
"Text","200",27/11/2016,12:33:45
"Text","199",27/11/2016,12:33:39
"Text","200",27/11/2016,12:33:35
"Text","201",27/11/2016,12:33:31
"Text","202",27/11/2016,12:33:27
"Text","203",27/11/2016,12:33:22
"Text","225",27/11/2016,12:33:08
"Text","226",27/11/2016,12:33:05
"Text","134",27/11/2016,12:33:00
"Text","135",27/11/2016,12:32:53
"Text","136",27/11/2016,12:32:47
"Text","103",27/11/2016,12:32:42
"Text","104",27/11/2016,12:32:37
"Text","105",27/11/2016,12:32:30
"Text","106",27/11/2016,12:32:24
"Text","151",27/11/2016,12:32:17
"Text","234",27/11/2016,12:32:05
"Text","155",27/11/2016,12:31:51
"Text","156",27/11/2016,12:31:47
"Text","157",27/11/2016,12:31:43
"Text","158",27/11/2016,12:31:23
"Text","159",27/11/2016,12:31:17
"Text","159",27/11/2016,12:31:11
"Text","264",27/11/2016,12:31:05
"Text","265",27/11/2016,12:30:59
"Text","266",27/11/2016,12:30:53
"Text","258",27/11/2016,12:22:24
"Text","266",27/11/2016,12:22:20
"Text","265",27/11/2016,12:22:16
"Text","264",27/11/2016,12:22:11
"Text","159",27/11/2016,12:22:05
"Text","158",27/11/2016,12:21:59
"Text","157",27/11/2016,12:21:54
"Text","156",27/11/2016,12:21:48
"Text","155",27/11/2016,12:21:44
"Text","154",27/11/2016,12:21:35
"Text","153",27/11/2016,12:21:32
"Text","152",27/11/2016,12:21:27
"Text","151",27/11/2016,12:21:22
"Text","105",27/11/2016,12:21:15
"Text","104",27/11/2016,12:21:10
"Text","103",27/11/2016,12:21:06
"Text","136",27/11/2016,12:21:00
"Text","135",27/11/2016,12:20:55
"Text","134",27/11/2016,12:20:49
"Text","226",27/11/2016,12:20:42
"Text","225",27/11/2016,12:20:34
"Text","211",27/11/2016,12:20:10
"Text","212",27/11/2016,12:19:51
"Text","132",27/11/2016,12:19:47
"Text","133",27/11/2016,12:19:39
"Text","134",27/11/2016,12:19:36
"Text","135",27/11/2016,12:19:30
"Text","136",27/11/2016,12:19:25
"Text","103",27/11/2016,12:19:21
"Text","104",27/11/2016,12:19:16
"Text","105",27/11/2016,12:19:11
"Text","106",27/11/2016,12:19:07
"Text","151",27/11/2016,12:19:02
"Text","152",27/11/2016,12:18:58
"Text","153",27/11/2016,12:18:53
"Text","154",27/11/2016,12:18:49
"Text","155",27/11/2016,12:18:31
"Text","156",27/11/2016,12:18:27
"Text","157",27/11/2016,12:18:22
"Text","158",27/11/2016,12:18:17
"Text","159",27/11/2016,12:18:11
"Text","264",27/11/2016,12:18:06
"Text","265",27/11/2016,12:18:01
"Text","266",27/11/2016,12:17:56
"Text","258",27/11/2016,12:17:52
"Text","253",27/11/2016,12:17:48
"Text","252",27/11/2016,12:17:43
"Text","269",27/11/2016,12:17:38
"Text","270",27/11/2016,12:17:33
"Text","271",27/11/2016,12:17:27
"Text","272",27/11/2016,12:17:22
"Text","273",27/11/2016,12:17:16
"Text","294",27/11/2016,12:17:05
"Text","295",27/11/2016,12:17:01
"Text","296",27/11/2016,12:16:57
"Text","297",27/11/2016,12:16:53
"Text","298",27/11/2016,12:16:48
"Text","299",27/11/2016,12:16:43
"Text","300",27/11/2016,12:16:34
"Text","301",27/11/2016,12:16:30
"Text","302",27/11/2016,12:16:23
"Text","273",27/11/2016,12:16:07
"Text","272",27/11/2016,12:16:02
"Text","271",27/11/2016,12:15:57
"Text","270",27/11/2016,12:15:52
"Text","269",27/11/2016,12:15:48
"Text","252",27/11/2016,12:15:42
"Text","253",27/11/2016,12:15:37
"Text","258",27/11/2016,12:15:33
"Text","266",27/11/2016,12:15:28
"Text","265",27/11/2016,12:15:18
"Text","262",27/11/2016,12:15:14
"Text","263",27/11/2016,12:15:08
"Text","159",27/11/2016,12:15:04
"Text","160",27/11/2016,12:14:56
"Text","161",27/11/2016,12:14:51
"Text","162",27/11/2016,12:14:47
"Text","162",27/11/2016,12:14:43
"Text","163",27/11/2016,12:14:23
"Text","164",27/11/2016,12:14:16
"Text","057",27/11/2016,12:14:10
"Text","056",27/11/2016,12:14:05
"Text","055",27/11/2016,12:14:00
"Text","054",27/11/2016,12:13:57
"Text","074",27/11/2016,12:13:49
"Text","075",27/11/2016,12:13:44
"Text","076",27/11/2016,12:13:26
"Text","067",27/11/2016,12:13:17
"Text","066",27/11/2016,12:13:12
"Text","065",27/11/2016,12:13:08
"Text","064",27/11/2016,12:13:01
"Text","172",27/11/2016,12:12:52
"Text","171",27/11/2016,12:12:47
"Text","170",27/11/2016,12:12:43
"Text","169",27/11/2016,12:12:27
"Text","155",27/11/2016,12:12:16
"Text","156",27/11/2016,12:12:11
"Text","157",27/11/2016,12:12:07
"Text","158",27/11/2016,12:12:01
"Text","263",27/11/2016,12:11:53
"Text","262",27/11/2016,12:11:48
"Text","261",27/11/2016,12:11:42
"Text","259",27/11/2016,12:11:06
"Text","267",27/11/2016,12:11:00
"Text","251",27/11/2016,12:10:53
"Text","250",27/11/2016,12:10:48
"Text","249",27/11/2016,12:10:41
"Text","248",27/11/2016,12:10:35
"Text","246",27/11/2016,12:10:24
"Text","245",27/11/2016,12:10:18
"Text","244",27/11/2016,12:10:13
"Text","145",27/11/2016,12:10:07
"Text","146",27/11/2016,12:10:00
"Text","147",27/11/2016,12:09:52
"Text","149",27/11/2016,12:09:47
"Text","150",27/11/2016,12:09:39
"Text","106",27/11/2016,12:09:30
"Text","105",27/11/2016,12:09:24
"Text","104",27/11/2016,12:09:12
"Text","103",27/11/2016,12:09:08
"Text","136",27/11/2016,12:09:01
"Text","102",27/11/2016,12:08:54
"Text","101",27/11/2016,12:08:48
"Text","225",27/11/2016,11:56:33
"Text","209",27/11/2016,11:56:22
"Text","208",27/11/2016,11:56:16
"Text","207",27/11/2016,11:56:11
"Text","206",27/11/2016,11:56:07
"Text","205",27/11/2016,11:56:02
"Text","204",27/11/2016,11:55:57
"Text","203",27/11/2016,11:55:53
"Text","202",27/11/2016,11:55:47
"Text","201",27/11/2016,11:55:43
"Text","200",27/11/2016,11:55:37
"Text","199",27/11/2016,11:55:32
"Text","198",27/11/2016,11:55:26
"Text","197",27/11/2016,11:55:22
"Text","181",27/11/2016,11:55:16
"Text","197",27/11/2016,11:55:11
"Text","198",27/11/2016,11:55:05
"Text","199",27/11/2016,11:55:00
"Text","200",27/11/2016,11:54:51
"Text","201",27/11/2016,11:54:48
"Text","096",27/11/2016,11:54:38
"Text","094",27/11/2016,11:54:32
"Text","232",27/11/2016,11:54:27
"Text","231",27/11/2016,11:54:19
"Text","154",27/11/2016,11:54:10
"Text","169",27/11/2016,11:54:01
"Text","170",27/11/2016,11:52:42
"Text","171",27/11/2016,11:52:38
"Text","172",27/11/2016,11:52:33
"Text","064",27/11/2016,11:52:27
"Text","065",27/11/2016,11:52:22
"Text","067",27/11/2016,11:52:15
"Text","077",27/11/2016,11:52:10
