Name, Text, Date, Time
"Text","277",25/11/2016,11:14:43
"Text","276",25/11/2016,11:14:37
"Text","275",25/11/2016,11:14:33
"Text","274",25/11/2016,11:14:29
"Text","273",25/11/2016,11:14:25
"Text","272",25/11/2016,11:14:22
"Text","271",25/11/2016,11:14:16
"Text","270",25/11/2016,11:14:12
"Text","269",25/11/2016,11:14:07
"Text","252",25/11/2016,11:13:59
"Text","253",25/11/2016,11:13:55
"Text","258",25/11/2016,11:13:49
"Text","266",25/11/2016,11:13:43
"Text","265",25/11/2016,11:13:40
"Text","264",25/11/2016,11:13:35
"Text","159",25/11/2016,11:13:30
"Text","158",25/11/2016,11:13:25
"Text","157",25/11/2016,11:13:21
"Text","237",25/11/2016,11:13:14
"Text","147",25/11/2016,11:13:07
"Text","240",25/11/2016,11:13:00
"Text","239",25/11/2016,11:12:56
"Text","243",25/11/2016,11:12:50
"Text","110",25/11/2016,11:12:41
"Text","135",25/11/2016,11:12:28
"Text","103",25/11/2016,11:12:22
"Text","100",25/11/2016,11:12:12
"Text","203",25/11/2016,11:12:03
"Text","183",25/11/2016,11:11:23
"Text","088",25/11/2016,11:11:12
"Text","087",25/11/2016,11:11:07
"Text","082",25/11/2016,11:10:28
"Text","085",25/11/2016,11:10:23
"Text","194",25/11/2016,11:10:19
"Text","193",25/11/2016,11:10:14
"Text","192",25/11/2016,11:10:09
"Text","191",25/11/2016,11:10:04
"Text","036",25/11/2016,11:09:59
"Text","037",25/11/2016,11:09:54
"Text","038",25/11/2016,11:09:45
"Text","039",25/11/2016,11:09:41
"Text","080",25/11/2016,11:09:38
"Text","079",25/11/2016,11:09:32
