Name, Text, Date, Time
"Text","124",25/11/2016,09:17:52
"Text","125",25/11/2016,09:17:45
"Text","242",25/11/2016,09:17:34
"Text","119",25/11/2016,09:17:24
"Text","111",25/11/2016,09:17:02
"Text","110",25/11/2016,09:16:45
"Text","109",25/11/2016,09:16:25
"Text","108",25/11/2016,09:16:15
"Text","105",25/11/2016,09:15:49
"Text","106",25/11/2016,09:15:36
"Text","151",25/11/2016,09:15:11
"Text","152",25/11/2016,09:14:52
"Text","153",25/11/2016,09:14:43
"Text","154",25/11/2016,09:14:28
"Text","230",25/11/2016,09:14:18
"Text","231",25/11/2016,09:14:12
"Text","232",25/11/2016,09:14:01
"Text","094",25/11/2016,09:13:52
"Text","091",25/11/2016,09:13:36
"Text","090",25/11/2016,09:13:31
"Text","180",25/11/2016,09:13:23
"Text","179",25/11/2016,09:13:11
"Text","178",25/11/2016,09:13:04
"Text","177",25/11/2016,09:12:50
"Text","170",25/11/2016,09:12:41
"Text","171",25/11/2016,09:12:35
"Text","172",25/11/2016,09:12:25
"Text","176",25/11/2016,09:12:19
"Text","175",25/11/2016,09:12:11
"Text","086",25/11/2016,09:11:40
"Text","084",25/11/2016,09:11:33
"Text","083",25/11/2016,09:11:19
"Text","082",25/11/2016,09:11:09
"Text","079",25/11/2016,09:10:55
"Text","078",25/11/2016,09:10:38
"Text","081",25/11/2016,09:10:30
"Text","041",25/11/2016,09:10:24
"Text","040",25/11/2016,09:10:10
"Text","038",25/11/2016,09:09:58
"Text","037",25/11/2016,09:09:42
"Text","035",25/11/2016,09:09:28
"Text","024",25/11/2016,09:09:20
"Text","023",25/11/2016,09:09:08
"Text","022",25/11/2016,09:09:03
"Text","021",25/11/2016,09:08:49
"Text","020",25/11/2016,09:08:46
"Text","019",25/11/2016,09:08:40
"Text","018",25/11/2016,09:08:37
"Text","017",25/11/2016,09:08:32
"Text","016",25/11/2016,09:08:26
"Text","015",25/11/2016,09:08:15
"Text","014",25/11/2016,09:08:10
"Text","013",25/11/2016,09:08:02
"Text","012",25/11/2016,09:07:58
"Text","010",25/11/2016,09:07:50
"Text","009",25/11/2016,09:07:42
"Text","007",25/11/2016,09:07:36
"Text","006",25/11/2016,09:07:32
"Text","005",25/11/2016,09:07:28
"Text","003",25/11/2016,09:07:04
"Text","002",25/11/2016,09:06:59
"Text","001",25/11/2016,09:06:28
"Text","001",25/11/2016,09:06:24
"Text","221",25/11/2016,09:06:15
"Text","208",25/11/2016,09:06:06
"Text","207",25/11/2016,09:05:55
"Text","206",25/11/2016,09:05:51
"Text","205",25/11/2016,09:05:36
"Text","204",25/11/2016,09:05:30
"Text","203",25/11/2016,09:05:26
"Text","202",25/11/2016,09:05:22
"Text","201",25/11/2016,09:05:17
"Text","200",25/11/2016,09:05:08
"Text","199",25/11/2016,09:05:04
"Text","198",25/11/2016,09:05:00
"Text","197",25/11/2016,09:04:56
"Text","181",25/11/2016,09:04:49
"Text","182",25/11/2016,09:04:42
"Text","183",25/11/2016,09:04:36
"Text","184",25/11/2016,09:04:22
"Text","185",25/11/2016,09:03:48
"Text","186",25/11/2016,09:03:38
"Text","187",25/11/2016,09:03:29
"Text","188",25/11/2016,09:03:24
"Text","189",25/11/2016,09:03:17
"Text","190",25/11/2016,09:03:11
"Text","024",25/11/2016,09:03:04
