Name, Text, Date, Time
"Text","243",25/11/2016,12:08:09
"Text","113",25/11/2016,12:07:40
"Text","115",25/11/2016,12:07:29
"Text","114",25/11/2016,12:07:23
"Text","122",25/11/2016,12:06:51
"Text","123",25/11/2016,12:06:33
"Text","124",25/11/2016,12:06:22
"Text","125",25/11/2016,12:06:10
"Text","126",25/11/2016,12:05:50
"Text","242",25/11/2016,12:05:45
"Text","111",25/11/2016,12:05:15
"Text","119",25/11/2016,12:04:42
"Text","111",25/11/2016,12:04:32
"Text","110",25/11/2016,12:04:25
"Text","109",25/11/2016,12:04:17
"Text","108",25/11/2016,12:04:08
"Text","107",25/11/2016,12:04:02
"Text","151",25/11/2016,12:03:34
"Text","152",25/11/2016,12:03:27
"Text","153",25/11/2016,12:03:20
"Text","154",25/11/2016,12:03:11
"Text","230",25/11/2016,12:02:54
"Text","231",25/11/2016,12:02:49
"Text","232",25/11/2016,12:02:34
"Text","094",25/11/2016,12:02:24
"Text","091",25/11/2016,12:02:16
"Text","090",25/11/2016,12:01:56
"Text","089",25/11/2016,12:01:40
"Text","182",25/11/2016,12:00:59
"Text","183",25/11/2016,12:00:45
"Text","088",25/11/2016,12:00:34
"Text","087",25/11/2016,12:00:28
"Text","086",25/11/2016,12:00:18
"Text","084",25/11/2016,11:59:50
"Text","083",25/11/2016,11:59:40
"Text","082",25/11/2016,11:59:23
"Text","080",25/11/2016,11:59:06
"Text","039",25/11/2016,11:59:01
"Text","038",25/11/2016,11:58:52
"Text","040",25/11/2016,11:58:37
"Text","041",25/11/2016,11:58:34
"Text","077",25/11/2016,11:57:45
"Text","067",25/11/2016,11:57:16
