Name, Text, Date, Time
"Text","052",11/27/2016,15:26:55
"Text","053",11/27/2016,15:26:51
"Text","054",11/27/2016,15:26:47
"Text","074",11/27/2016,15:26:41
"Text","075",11/27/2016,15:26:37
"Text","076",11/27/2016,15:26:32
"Text","067",11/27/2016,15:26:27
"Text","066",11/27/2016,15:26:09
"Text","065",11/27/2016,15:26:04
"Text","064",11/27/2016,15:25:44
"Text","063",11/27/2016,15:25:15
"Text","172",11/27/2016,15:25:06
"Text","171",11/27/2016,15:25:02
"Text","170",11/27/2016,15:24:56
"Text","169",11/27/2016,15:24:46
"Text","155",11/27/2016,15:24:36
"Text","156",11/27/2016,15:24:32
"Text","157",11/27/2016,15:24:27
"Text","158",11/27/2016,15:24:23
"Text","159",11/27/2016,15:24:19
"Text","160",11/27/2016,15:24:15
"Text","161",11/27/2016,15:24:10
"Text","162",11/27/2016,15:24:06
"Text","163",11/27/2016,15:24:01
"Text","164",11/27/2016,15:23:55
"Text","057",11/27/2016,15:23:45
"Text","056",11/27/2016,15:23:42
"Text","055",11/27/2016,15:23:38
"Text","054",11/27/2016,15:23:34
"Text","053",11/27/2016,15:23:30
"Text","052",11/27/2016,15:23:25
"Text","051",11/27/2016,15:23:21
"Text","050",11/27/2016,15:23:17
"Text","048",11/27/2016,15:23:13
"Text","047",11/27/2016,15:23:08
"Text","046",11/27/2016,15:23:02
"Text","045",11/27/2016,15:22:58
"Text","071",11/27/2016,15:22:53
"Text","044",11/27/2016,15:22:48
"Text","043",11/27/2016,15:22:34
"Text","311",11/27/2016,15:22:29
"Text","312",11/27/2016,15:22:21
"Text","313",11/27/2016,15:22:13
"Text","314",11/27/2016,15:21:50
"Text","034",11/27/2016,15:21:42
"Text","024",11/27/2016,15:21:38
"Text","035",11/27/2016,15:21:34
"Text","190",11/27/2016,15:21:30
"Text","189",11/27/2016,15:21:25
"Text","021",11/27/2016,15:21:17
"Text","020",11/27/2016,15:21:12
"Text","019",11/27/2016,15:21:04
"Text","018",11/27/2016,15:21:00
"Text","017",11/27/2016,15:20:50
"Text","016",11/27/2016,15:20:47
"Text","016",11/27/2016,15:20:47
"Text","015",11/27/2016,15:20:39
"Text","014",11/27/2016,15:20:34
"Text","013",11/27/2016,15:20:30
"Text","012",11/27/2016,15:20:24
"Text","011",11/27/2016,15:19:41
"Text","010",11/27/2016,15:19:34
"Text","009",11/27/2016,15:19:26
"Text","008",11/27/2016,15:19:21
"Text","007",11/27/2016,15:19:17
