Name, Text, Date, Time
"Text","169",11/28/2016,18:33:05
"Text","168",11/28/2016,18:33:01
"Text","169",11/28/2016,18:32:58
"Text","168",11/28/2016,18:32:54
"Text","169",11/28/2016,18:32:46
"Text","170",11/28/2016,18:32:41
"Text","177",11/28/2016,18:32:38
"Text","170",11/28/2016,18:32:34
"Text","171",11/28/2016,18:32:28
"Text","172",11/28/2016,18:32:24
"Text","064",11/28/2016,18:32:20
"Text","065",11/28/2016,18:32:14
"Text","066",11/28/2016,18:32:10
"Text","067",11/28/2016,18:32:06
"Text","076",11/28/2016,18:31:46
"Text","068",11/28/2016,18:31:40
"Text","069",11/28/2016,18:31:35
"Text","070",11/28/2016,18:31:30
"Text","071",11/28/2016,18:31:24
"Text","044",11/28/2016,18:31:18
"Text","045",11/28/2016,18:31:14
"Text","046",11/28/2016,18:31:11
"Text","045",11/28/2016,18:31:06
"Text","046",11/28/2016,18:31:03
"Text","045",11/28/2016,18:30:58
"Text","044",11/28/2016,18:30:54
"Text","071",11/28/2016,18:30:50
"Text","044",11/28/2016,18:30:39
"Text","071",11/28/2016,18:30:36
"Text","044",11/28/2016,18:30:31
"Text","043",11/28/2016,18:30:25
"Text","040",11/28/2016,18:30:14
"Text","041",11/28/2016,18:30:10
"Text","040",11/28/2016,18:30:07
"Text","041",11/28/2016,18:30:02
"Text","081",11/28/2016,18:29:57
"Text","078",11/28/2016,18:29:53
"Text","077",11/28/2016,18:29:45
"Text","067",11/28/2016,18:29:39
"Text","076",11/28/2016,18:29:34
"Text","075",11/28/2016,18:29:29
"Text","074",11/28/2016,18:29:25
"Text","054",11/28/2016,18:29:17
"Text","055",11/28/2016,18:29:13
"Text","056",11/28/2016,18:29:08
"Text","057",11/28/2016,18:29:04
"Text","164",11/28/2016,18:29:01
"Text","057",11/28/2016,18:28:56
"Text","164",11/28/2016,18:28:53
"Text","057",11/28/2016,18:28:49
"Text","164",11/28/2016,18:28:46
"Text","057",11/28/2016,18:28:43
"Text","164",11/28/2016,18:28:39
"Text","057",11/28/2016,18:28:36
"Text","164",11/28/2016,18:28:32
"Text","057",11/28/2016,18:28:27
"Text","056",11/28/2016,18:28:22
"Text","055",11/28/2016,18:28:18
"Text","054",11/28/2016,18:28:14
"Text","053",11/28/2016,18:28:09
"Text","052",11/28/2016,18:28:03
"Text","051",11/28/2016,18:28:00
"Text","052",11/28/2016,18:27:56
"Text","051",11/28/2016,18:27:53
"Text","052",11/28/2016,18:27:48
"Text","073",11/28/2016,18:27:43
"Text","072",11/28/2016,18:27:36
"Text","070",11/28/2016,18:27:31
"Text","069",11/28/2016,18:27:26
"Text","069",11/28/2016,18:27:23
"Text","068",11/28/2016,18:26:58
"Text","076",11/28/2016,18:26:54
"Text","067",11/28/2016,18:26:48
"Text","066",11/28/2016,18:26:43
"Text","065",11/28/2016,18:26:37
"Text","064",11/28/2016,18:26:34
"Text","172",11/28/2016,18:26:28
"Text","171",11/28/2016,18:26:23
